P(1h);0; 50; 100; 150; 200; 250; 300; 350; 400; 450; 500; 550; 600; 650; 700; 750; 800; 850; 900; 950; 1000; 1050; 1100; 1150; 1200; 1250; 1300; 1350; 1400; 1450; 1500; 1550; 1600; 1650; 1700; 1750; 1800; 1850; 1900; 1950; 2000; 2050; 2100; 2150; 2200; 2250; 2300; 2350; 2400; 2450; 2500; 2550; 2600; 2650; 2700; 2750; 2800; 2850; 2900; 2950; 3000; 3050; 3100; 3150; 3200; 3250; 3300; 3350; 3400; 3450; 3500; 3550; 3600; 3650; 3700; 3750; 3800; 3850; 3900; 3950; 4000; 4050; 4100; 4150; 4200; 4250; 4300; 4350; 4400; 4450; 4500; 4550; 4600; 4650; 4700; 4750; 4800; 4850; 4900; 4950; 
0;0.9791518061271147;0.017110196616369457;0.003175582990397805;0.00032693187014174667;8.459076360310928e-05;5.7155921353452216e-05;4.11522633744856e-05;2.2862368541380887e-06;0.0;2.2862368541380887e-06;2.2862368541380887e-06;0.0;4.11522633744856e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2862368541380887e-06;2.2862368541380887e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
50;0.17963941877984627;0.604543974565234;0.16417857325263668;0.04490043795806839;0.005204742204857121;0.0004784979187415409;0.00019535738910595265;4.75625015960571e-05;4.740289588600322e-05;3.208074772083046e-05;3.255956485099211e-05;6.511912970198422e-05;0.00014779488750989555;7.198217523430118e-05;2.1387165147220308e-05;1.8514262366250415e-05;2.3462039377920785e-05;2.2823616537705253e-05;3.303838198115376e-05;4.229551316427897e-05;3.766694757271636e-05;5.666002706912842e-05;3.974182180341684e-05;1.436451390484946e-05;1.3726091064633929e-05;1.2608851094256749e-05;1.0693582573610154e-05;7.022651242370847e-06;7.661074082586379e-06;4.788171301616487e-06;2.713297070916009e-06;1.053397686355627e-05;1.2449245384202865e-05;3.0325084910237747e-06;4.788171301616487e-07;1.276845680431063e-06;1.436451390484946e-06;0.0;4.788171301616487e-07;3.9901427513470725e-06;5.426594141832018e-06;1.5960571005388289e-06;3.1921142010776575e-07;4.788171301616487e-07;3.1921142010776575e-07;1.5960571005388288e-07;1.5960571005388288e-07;0.0;0.0;1.5960571005388288e-07;9.576342603232974e-07;7.980285502694144e-07;6.384228402155315e-07;0.0;0.0;0.0;1.5960571005388288e-07;0.0;0.0;0.0;0.0;0.0;0.0;1.5960571005388288e-07;0.0;0.0;0.0;0.0;1.5960571005388288e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5960571005388288e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
100;0.022894413519883656;0.28661562024639353;0.4514217984721595;0.18220970613309262;0.04698987011684469;0.005894054126339368;0.0011520443642077463;0.00045592832188288783;0.0002316207813048493;9.831085034184177e-05;8.002774852481487e-05;0.0001357128529161025;0.0001869055380037778;0.00014720508834394799;7.104290991759022e-05;4.617789144643365e-05;9.0997609615031e-05;7.532637948615081e-05;7.856510037945272e-05;9.893769954699698e-05;0.00015504070340838807;0.00012014609765474818;8.128144693512529e-05;6.122227237015863e-05;3.98049245273557e-05;5.234190863045986e-05;4.304364542065761e-05;4.356601975828695e-05;4.429734383096802e-05;4.262574595055413e-05;4.8789763134580346e-05;2.737241529177741e-05;2.005917456496665e-05;1.5253330658776724e-05;8.671414004647043e-06;8.149039667017702e-06;8.566939137121174e-06;6.2684920515520786e-06;8.25351453454357e-06;2.998428697992411e-05;4.8267388796951005e-05;5.0252411279942495e-05;1.3268308175785234e-05;1.0656436487638533e-05;9.089313474750513e-06;8.880363739698778e-06;4.074519833508851e-06;1.6715978804138876e-06;1.3581732778362838e-06;9.402738077328118e-07;2.1939722180432274e-06;2.2984470855690955e-06;2.6118716881466995e-06;5.223743376293399e-07;6.268492051552078e-07;0.0;1.0447486752586797e-07;0.0;0.0;0.0;3.134246025776039e-07;8.357989402069438e-07;8.357989402069438e-07;3.134246025776039e-07;0.0;1.0447486752586797e-07;0.0;0.0;1.0447486752586797e-07;2.0894973505173595e-07;3.134246025776039e-07;1.0447486752586797e-07;1.0447486752586797e-07;2.0894973505173595e-07;0.0;1.0447486752586797e-07;0.0;0.0;3.134246025776039e-07;1.0447486752586797e-07;0.0;0.0;0.0;0.0;1.0447486752586797e-07;1.0447486752586797e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
150;0.005133588598733913;0.08967295487049766;0.28919470400002933;0.34603410088815983;0.19404858978325934;0.05513981168591885;0.011038188162934478;0.00263284457824478;0.000931731613221789;0.0004131070641919082;0.00034395033426431803;0.0006025496528006235;0.00040882932832009847;0.00023323845586771937;0.00019616474497870197;0.00013352646971291708;0.00025238641643677233;0.0003226635057593602;0.00020685908465822622;0.00023303475415953795;0.0002679695971126505;0.0002339514118463543;0.00017375755707874638;0.00014177638889426435;0.0001367856970438197;0.00012079511295157868;0.00012293398088748353;0.00013566533764882192;0.0001566466135915076;0.00017620197757692337;0.00016418357679421993;0.0001496189046592488;7.5471482881214e-05;5.9786451351245095e-05;5.907349537261015e-05;3.524039551538467e-05;2.3527547294953352e-05;1.9860916547687894e-05;3.646260576447316e-05;5.245318985671418e-05;0.00010185085409070714;0.00012466544540702554;6.386048551487338e-05;5.072172533717216e-05;3.269412416311699e-05;3.615705320220104e-05;2.3833099857225472e-05;9.166576868163643e-06;4.074034163628286e-06;3.361078184993336e-06;4.685139288172529e-06;3.0555256227212145e-06;6.620305515895965e-06;2.546271352267679e-06;2.13886793590485e-06;9.166576868163643e-07;6.111051245442429e-07;4.074034163628286e-07;4.074034163628286e-07;8.148068327256572e-07;8.148068327256572e-07;1.0185085409070714e-06;1.4259119572699001e-06;1.4259119572699001e-06;1.1203593949977785e-06;1.0185085409070715e-07;2.037017081814143e-07;4.074034163628286e-07;5.092542704535357e-07;1.0185085409070714e-06;1.5277628113606072e-06;6.111051245442429e-07;3.0555256227212147e-07;3.0555256227212147e-07;0.0;1.0185085409070715e-07;1.0185085409070715e-07;1.0185085409070715e-07;0.0;3.0555256227212147e-07;4.074034163628286e-07;1.0185085409070715e-07;0.0;0.0;0.0;2.037017081814143e-07;3.0555256227212147e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
200;0.003970292186534745;0.03588453220919387;0.11955340916397898;0.23541989530049756;0.35705750610668996;0.1577320991263587;0.05423727357476507;0.01689606508665473;0.004024440817758877;0.0016735311337708091;0.0015185046438959523;0.001547140939254868;0.0009196155759579036;0.00042694113080565094;0.0003268442620283505;0.00026918117637380674;0.0004167882624511263;0.0005529408303848796;0.0005662176582331041;0.0005254760198361015;0.0005288603092876097;0.00048590586624923626;0.0003761767890330278;0.00036303012616370744;0.0002875344383992936;0.00024353867552968686;0.0002788133848127147;0.0002747782704666857;0.0003217678278510881;0.0002743877755299732;0.00025147873924284074;0.00023052217763927066;0.00019759043797651772;0.00012144392531758302;0.00010217950843976707;0.00010972907721620845;9.775389915702557e-05;8.421674135099273e-05;0.00010946874725840013;0.00019030119915788466;0.000239633726162562;0.000293522027428885;0.00021021644093022142;0.00015216286033896523;0.00015749962447403587;0.00017025579240664374;9.723323924140892e-05;4.972302194138983e-05;3.3712729536177926e-05;2.017557173014509e-05;1.314666286932035e-05;1.7051612236445206e-05;1.80929320676785e-05;1.2886332911512026e-05;4.0351143460290175e-06;3.7747843882206944e-06;3.3842894515082087e-06;4.295444303837342e-06;2.6032995780832376e-06;2.3429696202749136e-06;5.0764341772623126e-06;2.212804641370752e-06;3.904949367124856e-06;9.11154852329133e-07;3.644619409316532e-06;4.16527932493318e-06;2.3429696202749136e-06;3.644619409316532e-06;1.5619797468499423e-06;1.041319831233295e-06;1.5619797468499423e-06;1.822309704658266e-06;1.5619797468499423e-06;2.3429696202749136e-06;2.3429696202749136e-06;6.508248945208094e-07;7.809898734249712e-07;0.0;9.11154852329133e-07;3.904949367124856e-07;1.4318147679457806e-06;1.4318147679457806e-06;7.809898734249712e-07;5.206599156166475e-07;1.3016497890416188e-07;2.6032995780832376e-07;0.0;0.0;0.0;0.0;0.0;3.904949367124856e-07;1.3016497890416188e-07;1.3016497890416188e-07;0.0;0.0;0.0;0.0;0.0;0.0;
250;0.003461640153143939;0.0359771582559506;0.06841119279331496;0.11318801156577352;0.23385463369561843;0.28278259789554105;0.14184369269216618;0.06688972714296602;0.015414507650140056;0.0054370050179197976;0.010251686361664712;0.0021202663552852817;0.002438861450652104;0.0010278596638473604;0.0007214965124845807;0.0005286081647285308;0.0006321092293781186;0.000815400205684843;0.0008601879391150283;0.0008620697766541117;0.0008731726181347038;0.0009817546441398168;0.0008846518271231126;0.0007506649943403736;0.0006486693997220526;0.0005323718398066976;0.0004292471426649266;0.0004488182530713941;0.0003624419100274654;0.0003917985756371667;0.00035943096996493193;0.00036300646128919047;0.0003255578942614305;0.0002474616363894689;0.00020907215059216722;0.00021377674443987576;0.00022864326099863473;0.00018630191636925792;0.0002239386671509262;0.0003342143469412142;0.00043526902278999353;0.0005786650432681496;0.000502262439181363;0.00039951410954740864;0.00035585547864067346;0.0003400480433123728;0.00025592990531534424;0.00015901527205254844;9.051638562991218e-05;5.664330992641074e-05;3.3120340687868075e-05;2.3334785484634327e-05;2.0135661668192523e-05;2.7474828070617835e-05;2.0323845422100865e-05;1.9382926652559158e-05;1.4301965297033942e-05;4.704593847708534e-06;1.0726473972775457e-05;1.260831151185887e-05;9.409187695417068e-06;4.892777601616875e-06;6.96279889460863e-06;1.7501089113475744e-05;5.269145109433557e-06;7.527350156333653e-06;4.328226339891851e-06;4.892777601616875e-06;6.7746151407002885e-06;5.4573288633418985e-06;7.150982648516971e-06;1.1291025234500481e-05;5.6455126172502405e-06;2.8227563086251203e-06;3.5754913242584854e-06;9.409187695417067e-07;9.409187695417067e-07;5.64551261725024e-07;2.0700212929917547e-06;2.4463888008084375e-06;3.951858832075168e-06;2.0700212929917547e-06;2.4463888008084375e-06;9.409187695417067e-07;1.129102523450048e-06;5.64551261725024e-07;1.129102523450048e-06;1.8818375390834134e-07;3.763675078166827e-07;1.8818375390834134e-07;3.763675078166827e-07;1.6936537851750721e-06;5.64551261725024e-07;3.763675078166827e-07;0.0;0.0;0.0;0.0;0.0;0.0;
300;0.0029561814551107663;0.025650754224711702;0.04809743900549214;0.07318044977193754;0.12226833778281704;0.21625290420494134;0.2620371815438982;0.13303533465429965;0.05349141546523254;0.01759453245678229;0.009485644831383777;0.004650312493278899;0.003078333155942225;0.002412427157052896;0.0011338324916906513;0.0009234447992879356;0.0007839216376158856;0.0007921937618256909;0.0009466067470753905;0.0010469751874876952;0.0012151750464204037;0.001252951080311848;0.0012179324211570054;0.0011771232750552993;0.0009954122799132419;0.0007533147780396059;0.0006780384477303772;0.0006904466340450853;0.0006278542275242249;0.0005440300355315309;0.000559747071530161;0.0005801516445810141;0.0004894340157468156;0.00041608784775320833;0.0003496351166011055;0.00030358695849985577;0.0003350210304971161;0.0002313437404008892;0.00031902825702482575;0.0005076326890083874;0.0006259240652086036;0.0008150799721394857;0.001006166041385989;0.0008023960483511175;0.0007326344675150925;0.0006700420609942322;0.0005713280454238885;0.0003868596755452295;0.00029283319702710887;0.00015606741009166066;0.00010257434020158615;8.796025409759673e-05;6.810715599406393e-05;5.8732081889617875e-05;4.329078336464792e-05;3.612160904948329e-05;4.715110799589041e-05;2.922817220797885e-05;3.943045873340543e-05;2.8952434734318673e-05;1.902588568255227e-05;1.9301623156212447e-05;2.0680310524513338e-05;5.239011999543379e-05;2.7298009892357606e-05;3.419144673386205e-05;1.654424841961067e-05;1.544129852496996e-05;2.040457305085316e-05;1.8474410735231914e-05;9.099336630785869e-06;7.169174315164623e-06;5.5147494732035565e-06;7.169174315164623e-06;5.5147494732035565e-06;6.34196189418409e-06;3.5845871575823117e-06;5.2390119995433786e-06;3.0331122102619562e-06;3.86032463124249e-06;3.3088496839221337e-06;9.926549051766401e-06;6.6176993678442675e-06;2.4816372629416003e-06;1.1029498946407114e-06;0.0;3.86032463124249e-06;1.930162315621245e-06;8.272124209805334e-07;1.1029498946407114e-06;2.7573747366017785e-07;1.6544248419610669e-06;1.1029498946407114e-06;1.1029498946407114e-06;5.514749473203557e-07;0.0;5.514749473203557e-07;2.7573747366017785e-07;0.0;0.0;
350;0.0031041642212938894;0.024023213883688128;0.041094577718597085;0.06312467648920797;0.08366195936415818;0.11695379351881606;0.19304776510566896;0.2265504946227455;0.11720471281862807;0.05166012749933133;0.02011356792235356;0.008792951168872153;0.006940689527775265;0.004674718918430061;0.0023471730207874327;0.0019954241863883978;0.001468955471445422;0.0011018128149720315;0.0013789016123104394;0.001411613484218446;0.0019484730290616119;0.0013819803767253108;0.0013550411880951876;0.0011418367523653569;0.0012057211139739343;0.0009963651337626927;0.0009825106938957722;0.0008766781671345747;0.000778927396962414;0.0007054218965573641;0.0007108097342833887;0.00075583666385088;0.0007319762396356282;0.0006838705456532657;0.000609595354144498;0.0005564866679879698;0.0005307020160134234;0.00040755143941857534;0.0004641237355418337;0.0007796970880661318;0.0010209952490816622;0.0011868636819328483;0.001257675263474886;0.001315017250701862;0.0012195755538408548;0.0012041817317664989;0.0010714100163751782;0.0008285724731522121;0.0006376890794301976;0.0004310270180819683;0.00026900704074937125;0.00014547161860266428;9.467200575728945e-05;0.00010621737231305646;9.159324134241825e-05;6.234497940114184e-05;4.233301070447903e-05;5.464806836396383e-05;4.2717856256337926e-05;4.849053953422143e-05;4.810569398236253e-05;4.156331960076122e-05;3.001795304499422e-05;3.425125411544212e-05;6.657828047158975e-05;2.1551350904098412e-05;2.7708879733840815e-05;3.771486408217222e-05;2.5784651974546314e-05;4.849053953422143e-05;3.001795304499422e-05;2.6554343078264115e-05;1.577866762621491e-05;9.621138796472506e-06;1.731804983365051e-05;1.1545366555767007e-05;1.731804983365051e-05;1.4624130970638209e-05;7.696911037178005e-06;1.693320428179161e-05;1.1545366555767007e-05;1.0775675452049206e-05;1.1930212107625906e-05;1.3084748763202608e-05;5.772683277883504e-06;3.0787644148712017e-06;3.848455518589002e-07;0.0;3.848455518589002e-07;3.848455518589002e-07;3.848455518589002e-07;3.848455518589002e-07;7.696911037178004e-07;1.5393822074356009e-06;7.696911037178004e-07;1.1545366555767007e-06;1.1545366555767007e-06;1.9242277592945012e-06;0.0;0.0;
400;0.002315235580146313;0.019580489164943787;0.038379216869102;0.05317061660634739;0.06735217343971595;0.07967218234598387;0.11202439765698159;0.17872929034088642;0.19999842366939224;0.11059880366358937;0.04765986332228424;0.017316484329549648;0.010110683038830441;0.00812647688631356;0.004474808512776406;0.003010298857505132;0.0022344486364986546;0.0016915997834515827;0.0018310065215752863;0.0019024340022393746;0.0023866630608104012;0.002055633633180971;0.0016605657746113236;0.0015452965989189327;0.0015063809370398776;0.0015068735403548025;0.0013822449016788413;0.0012073707248805561;0.0012122967580298035;0.0010147628287449798;0.0009359462983570202;0.0009014640663122878;0.0008625484044332328;0.0008177215027750808;0.0007546682784647131;0.0006044242674126651;0.0007127969966961096;0.0006187097635454828;0.0006842260044304742;0.0008994936530525888;0.0011970260552671363;0.0014517019690832307;0.0017669680906350692;0.0017768201569335642;0.0015718971779248691;0.0017694311072096929;0.001544803995604008;0.001347762669634109;0.0009251090254286757;0.0007078709635468621;0.00047240657901283283;0.00028620252597127825;0.00019753392928482374;0.00013251029171475708;9.65502497252505e-05;8.226475359243282e-05;5.5664174586496465e-05;8.127954696258333e-05;9.014640663122878e-05;7.88165303879596e-05;6.157541436559344e-05;7.487570386856161e-05;5.664938121634596e-05;3.3497025414882826e-05;4.6797314917851005e-05;3.9900868508904546e-05;3.8915661879055046e-05;5.664938121634596e-05;4.7782521547700505e-05;5.1723348067098485e-05;6.206801768051819e-05;5.024553812232424e-05;3.84230585641303e-05;3.398962872980757e-05;2.167454585668889e-05;2.8078388950710606e-05;1.724111602236616e-05;1.6748512707441413e-05;2.0196735911914646e-05;1.921152928206515e-05;2.8570992265635353e-05;9.85206629849495e-06;1.6748512707441413e-05;1.527070276266717e-05;4.926033149247475e-06;2.955619889548485e-06;6.403843094021717e-06;1.4778099447742425e-06;2.4630165746237374e-06;5.418636464172222e-06;1.97041325969899e-06;4.926033149247475e-07;9.85206629849495e-07;9.85206629849495e-07;4.926033149247475e-07;1.4778099447742425e-06;0.0;1.4778099447742425e-06;0.0;0.0;
450;0.003100132470973272;0.02009008026182498;0.03664614665315982;0.04866516013402945;0.05788077612405517;0.0647636561988623;0.07584571027818904;0.11145827164341932;0.15615803007870335;0.17335120392737474;0.10239788046442765;0.04408010597677862;0.019388763344502454;0.012469726486402244;0.006938362035377542;0.004839398425933141;0.0031992519286215227;0.002241720564170498;0.0022454609210628847;0.0019075820151172758;0.0027161224966882258;0.002042858256058599;0.002112054858567755;0.0020372477207200187;0.001717447206420946;0.0016738097093430997;0.0017810332735915218;0.0016869009584664536;0.0017704355957297593;0.0013365541962128886;0.0012274604535182732;0.0009968051118210862;0.0009201277955271566;0.0009419465440660797;0.0008135276240941324;0.0008085404815709498;0.0008746201200031169;0.0009076599392192005;0.0009163874386347697;0.0014032572274604535;0.0020372477207200187;0.002102703966336788;0.0021731473544767395;0.0022791241330943663;0.0022273825294163484;0.002161926283799579;0.001786643808930102;0.0019443621912257462;0.0014026338346450557;0.0010404426088989325;0.0008565417283565807;0.0005928465674433102;0.0003285280137146419;0.000287384087898387;0.0002181874853892309;0.00011906802774098028;0.00012966570560274293;0.00014462713317229018;0.00015335463258785942;9.97428504636484e-05;9.600249357126159e-05;7.35603522169407e-05;0.00012031481337177588;9.226213667887478e-05;9.350892230967038e-05;0.00011034052832541105;7.044338813995169e-05;4.426088989324398e-05;5.672874620120003e-05;6.109249590898464e-05;8.914517260188576e-05;6.857320969375828e-05;7.854749474012312e-05;7.35603522169407e-05;2.992285513909452e-05;4.613106833943739e-05;2.8052676692901114e-05;3.179303358528793e-05;2.7429283877503313e-05;4.0520533000857167e-05;2.929946232369672e-05;2.181874853892309e-05;3.5533390477674744e-05;2.929946232369672e-05;1.9325177277331878e-05;1.3714641938751656e-05;9.974285046364841e-06;1.745499883113847e-05;1.1221070677160445e-05;4.363749707784618e-06;4.987142523182421e-06;5.610535338580223e-06;5.610535338580223e-06;4.987142523182421e-06;6.857320969375828e-06;3.1169640769890127e-06;0.0;4.987142523182421e-06;1.8701784461934075e-06;0.0;
